============================================================
2D FIRST-ORDER MESH QUALITY REPORT
============================================================
Input file : E:\CAE_AI\Manual_Mesh_Quality_Review\plate_with_hole_mesh.inp

Thresholds:
  Aspect ratio          : < 5.0
  Skew                  : <= 45.0 deg
  Quad corner angles    : 45.0 - 135.0 deg
  Tria corner angles    : 30.0 - 120.0 deg
  Small element length  : < 0.9 mm

1. Total elements : 2295
2. No of Quads    : 1743
3. No of Trias    : 552

Deviation (elements failing threshold):

                           Quads     Trias     Total
Aspect ratio                   0         0         0
Skew                           0         0         0
Angles                         2         0         2
Small element length         362        78       440

Percent of Tria ratio : 24.05%

Elements failing Aspect ratio : 0

Elements failing Skew : 0

Elements failing Angles : 2

Element ID      Shape   Type         Min angle   Max angle
1731            QUAD    S4R              63.20      135.78
1742            QUAD    S4R              48.54      138.31

Elements failing Small element length : 440

Element ID      Shape   Type        Min edge length (mm)
332             QUAD    S4R                       0.5827
1629            QUAD    S4R                       0.5827
1742            QUAD    S4R                       0.5851
162             QUAD    S4R                       0.5851
166             QUAD    S4R                       0.5905
46              QUAD    S4R                       0.5905
1605            QUAD    S4R                       0.5976
1022            QUAD    S4R                       0.6050
792             QUAD    S4R                       0.6050
1012            QUAD    S4R                       0.6085
377             QUAD    S4R                       0.6085
1024            QUAD    S4R                       0.6111
87              QUAD    S4R                       0.6156
1603            QUAD    S4R                       0.6156
5               QUAD    S4R                       0.6223
1699            QUAD    S4R                       0.6223
766             QUAD    S4R                       0.6362
1384            QUAD    S4R                       0.6362
1293            QUAD    S4R                       0.6388
789             QUAD    S4R                       0.6388
800             QUAD    S4R                       0.6487
1347            QUAD    S4R                       0.6487
1590            QUAD    S4R                       0.6496
103             QUAD    S4R                       0.6562
1458            QUAD    S4R                       0.6562
1633            QUAD    S4R                       0.6586
39              QUAD    S4R                       0.6682
27              QUAD    S4R                       0.6682
469             QUAD    S4R                       0.6706
339             QUAD    S4R                       0.6745
1649            QUAD    S4R                       0.6745
1168            QUAD    S4R                       0.6750
1117            QUAD    S4R                       0.6750
2227            TRI     S3R                       0.6764
577             QUAD    S4R                       0.6764
300             QUAD    S4R                       0.6779
1432            QUAD    S4R                       0.6779
671             QUAD    S4R                       0.6791
1042            QUAD    S4R                       0.6791
30              QUAD    S4R                       0.6801
1722            QUAD    S4R                       0.6818
1491            QUAD    S4R                       0.6818
1318            QUAD    S4R                       0.6827
646             QUAD    S4R                       0.6827
1537            QUAD    S4R                       0.6827
2010            TRI     S3R                       0.6827
1095            QUAD    S4R                       0.6834
1000            QUAD    S4R                       0.6852
1103            QUAD    S4R                       0.6852
1413            QUAD    S4R                       0.6876
1166            QUAD    S4R                       0.6876
1194            QUAD    S4R                       0.6893
542             QUAD    S4R                       0.6931
1319            QUAD    S4R                       0.6980
1164            QUAD    S4R                       0.6980
276             QUAD    S4R                       0.6994
2216            TRI     S3R                       0.6994
1531            QUAD    S4R                       0.7012
309             QUAD    S4R                       0.7012
947             QUAD    S4R                       0.7047
1866            TRI     S3R                       0.7047
1142            QUAD    S4R                       0.7058
1830            TRI     S3R                       0.7058
448             QUAD    S4R                       0.7062
1670            QUAD    S4R                       0.7062
149             QUAD    S4R                       0.7079
140             QUAD    S4R                       0.7091
1068            QUAD    S4R                       0.7118
567             QUAD    S4R                       0.7118
1983            TRI     S3R                       0.7120
110             QUAD    S4R                       0.7120
548             QUAD    S4R                       0.7140
583             QUAD    S4R                       0.7140
1423            QUAD    S4R                       0.7140
2232            TRI     S3R                       0.7140
624             QUAD    S4R                       0.7168
885             QUAD    S4R                       0.7172
425             QUAD    S4R                       0.7172
1476            QUAD    S4R                       0.7178
679             QUAD    S4R                       0.7178
1501            QUAD    S4R                       0.7183
544             QUAD    S4R                       0.7183
1050            QUAD    S4R                       0.7202
1370            QUAD    S4R                       0.7214
1146            QUAD    S4R                       0.7227
